time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
86,-0.012933,1.163343,0.001455,0.067171,-0.01391,0.077963,0.994594,-0.016157,0.748358,0.292872,-0.048352,-0.077802,0.041243,-0.994941,0.164809,0.746089,0.254966,0.046,0.109405,0.159299,0.980071,1,0,0,0,0,0,0,0,0,0,0
87,-0.013113,1.162088,0.002253,0.069591,-0.014104,0.077955,0.994425,-0.016428,0.748807,0.293128,-0.047603,-0.077727,0.040938,-0.994996,0.164324,0.746025,0.25495,0.045741,0.108408,0.160318,0.980027,1,0,0,0,0,0,0,0,0,0,0
88,-0.012559,1.162813,0.00172,0.068696,-0.012871,0.07746,0.994543,-0.016216,0.748787,0.292973,-0.047408,-0.077971,0.041002,-0.994983,0.164341,0.746201,0.254658,0.045419,0.10783,0.160892,0.980012,1,0,0,0,0,0,0,0,0,0,0
89,-0.013051,1.162723,0.001876,0.068815,-0.013528,0.078391,0.994453,-0.016171,0.748713,0.292625,-0.048098,-0.078307,0.041108,-0.99492,0.163925,0.74592,0.254704,0.046089,0.107142,0.160483,0.980123,1,0,0,0,0,0,0,0,0,0,0
90,-0.013614,1.162335,0.002316,0.070005,-0.01442,0.078851,0.994321,-0.016247,0.74884,0.293048,-0.048096,-0.078177,0.04092,-0.994938,0.163785,0.745919,0.254645,0.046232,0.106029,0.161153,0.980128,1,0,0,0,0,0,0,0,0,0,0
91,-0.012891,1.162643,0.002021,0.069842,-0.013492,0.078239,0.994394,-0.016191,0.748818,0.292931,-0.047486,-0.078207,0.04099,-0.994962,0.163779,0.745134,0.254523,0.04632,0.1052,0.162789,0.979942,1,0,0,0,0,0,0,0,0,0,0
92,-0.012952,1.162149,0.003017,0.071386,-0.01366,0.07728,0.994357,-0.016143,0.74919,0.292633,-0.047341,-0.078475,0.041271,-0.994936,0.163463,0.745081,0.254591,0.046323,0.104536,0.163108,0.97996,1,0,0,0,0,0,0,0,0,0,0
93,-0.01108,1.162631,0.002246,0.070001,-0.010954,0.075663,0.994613,-0.015591,0.748505,0.292657,-0.049036,-0.078531,0.041621,-0.994835,0.163682,0.745317,0.254884,0.04739,0.104381,0.162367,0.980049,1,0,0,0,0,0,0,0,0,0,0
94,-0.010942,1.162448,0.00244,0.070099,-0.010629,0.07436,0.994708,-0.015969,0.748736,0.292858,-0.048036,-0.078675,0.041164,-0.994891,0.16319,0.745111,0.254529,0.046779,0.10368,0.163359,0.979988,1,0,0,0,0,0,0,0,0,0,0
95,-0.010574,1.163537,0.001622,0.066624,-0.009215,0.073976,0.994989,-0.015996,0.748633,0.292788,-0.047874,-0.078882,0.041443,-0.994871,0.163418,0.745285,0.254379,0.046221,0.103901,0.163708,0.979933,1,0,0,0,0,0,0,0,0,0,0
